epoch,train_loss,val_loss,train_seg_acc,val_seg_acc,train_depth_acc,val_depth_acc,train_wp_mse,val_wp_mse
1,1.1393620686264536,0.7325679022578463,0.964192331761624,0.9699021723464114,0.762332185691012,0.7921721186742561,1.330878534475828,0.8354613558474924
2,0.597459793305254,0.5387924228340895,0.9713621405297502,0.972906141269734,0.7997835700842493,0.8121305288771432,0.6706996576599379,0.6019546751627808
3,0.4716599226015135,0.47556677232190453,0.9728441427643003,0.9737230746798761,0.810773591193653,0.819712889685853,0.5184428312136545,0.52627296700581
4,0.39690283012553457,0.434639772408939,0.9736640645869982,0.9740538891213484,0.8173415251645935,0.8225087293872126,0.4282138456392706,0.47713593926899395
5,0.3467507862213749,0.40939726529736403,0.9741389769032129,0.9749385336963649,0.8215085537273344,0.8281325031921998,0.367567373541941,0.4461747869820275
6,0.308796663062086,0.38607871125028287,0.974509759615401,0.9749675372168155,0.8246268372232618,0.829652757997866,0.3219204725292087,0.41941508199184246
7,0.28147027164123184,0.38675151458955864,0.9747527410041228,0.9750364717260769,0.8271072257607669,0.8297688888356962,0.2891096426196052,0.42063556809546904
8,0.2563662705446468,0.3487942377528178,0.974950982045664,0.9752627769500694,0.8290869905902176,0.8313674000749451,0.25904670284689896,0.3733686466894659
9,0.24128810505081244,0.342949578667943,0.9751269039788941,0.9757158922465471,0.8307535389142338,0.8357469030249788,0.24125236901224664,0.36600649303018384
10,0.22479770465616689,0.3484230060158175,0.9752747328697167,0.9755462120831226,0.8320167239742732,0.835826179029124,0.2214659116475926,0.37509979191494897
11,0.21373344355436102,0.32688785283831856,0.9753871269495612,0.9759287303422657,0.8332092663227322,0.8369516874869379,0.2085197869419464,0.34933591083214
12,0.2040788979387661,0.3390916152490056,0.9755120786395914,0.9759163397935129,0.8342221953645792,0.8372460584095017,0.19715545275235483,0.3646223154120657
13,0.19449850746423336,0.31422783944559957,0.9755909020585991,0.9757790290753902,0.8349466852134785,0.8395031580645835,0.1859371935387028,0.3330898527327058
14,0.1871930229290746,0.3064237650160054,0.975676549440321,0.975994644298918,0.8359082280060778,0.8395845340464705,0.17741581807195156,0.32427344239509376
15,0.1809111489320313,0.3137704267534856,0.9757447206560038,0.9760652451639107,0.8365674369391639,0.8410986682989834,0.17024248931924138,0.33443148972688014
16,0.17571118376270203,0.30087552785382715,0.975818900369304,0.9759717808188504,0.8371966848990222,0.8397511192262529,0.16417517645340465,0.31876662674388073
17,0.16941012764222382,0.2999864670006267,0.9758669837214173,0.9762390299367506,0.8376424303191288,0.8423366590248357,0.1569251315164101,0.3180835629942723
18,0.16447343142849954,0.2959025951087911,0.97593835249904,0.9762960241580095,0.8383253097942474,0.8440247496360804,0.1513360472996799,0.31307723128254633
19,0.16104851509572007,0.30751967554958703,0.9759857188736167,0.9761176457506212,0.8387838100576133,0.8416147937199263,0.14750372435837478,0.3270095965388012
20,0.15752847795602182,0.30902699833255143,0.9760235649729013,0.9764153542413222,0.8391481712951104,0.8435989283140984,0.14354725226927512,0.33009710212345506
21,0.15502738258274218,0.2955252795065158,0.97605615142122,0.9763197186421892,0.8396176614512958,0.8445274987920068,0.1407966762694969,0.31319613525769957
22,0.15128721115389046,0.31398498261783586,0.9760812944657435,0.9764087136714689,0.8399603161612682,0.8432072470585505,0.13655609924255657,0.336389745910109
23,0.14752892501739873,0.29018285517205833,0.9760992014092237,0.9764478287602838,0.8401650105972561,0.8434951283562853,0.13214979433413304,0.30679202565020386
24,0.1469860413805985,0.29805557683762274,0.9761221381054658,0.9762983948277174,0.8405569971728193,0.8432436046385281,0.1317743380527587,0.3154192149222705
25,0.1458379909071356,0.2960702636513944,0.9761479862316013,0.9764914829528745,0.8407273943992545,0.844931484166012,0.1306415281855115,0.3135840843159529
26,0.14211748692908496,0.2990603644822545,0.9761891293789663,0.9761630218195659,0.8411254926126517,0.8428492008251102,0.12633997939635513,0.31775699068355157
27,0.14052272685978542,0.2943658967758334,0.9762096273995297,0.9761164942130963,0.8413355224223819,0.8449607854711254,0.12468894664688994,0.3125452358530875
28,0.1376373259809692,0.28813218906012183,0.9762454690109422,0.9760364625117827,0.8415617453394902,0.8457369164397924,0.12129800675456562,0.30432095019101735
29,0.13604250140620686,0.3068557519492946,0.9762680524297077,0.9765222769306268,0.841757142642543,0.8451684310409188,0.1196271026671987,0.32845183127333566
30,0.1351005623187611,0.2901915580773083,0.9762785368604536,0.9766084828720013,0.8419645067855095,0.8448267290135011,0.11864076140338671,0.3073279437360887
